filter_threshold,width_confidence,depth_confidence,matched_points,possible_pairs,left_keypoints,right_keypoints,match_ratio_pct,match_time_ms
0.01,-1,-1,1252,1446,1474,1446,86.58,1757.2
0.01,-1,0.5,1260,1446,1474,1446,87.14,232.4
0.01,-1,0.8,1260,1446,1474,1446,87.14,214.0
0.01,-1,0.9,1250,1446,1474,1446,86.45,492.5
0.01,-1,0.95,1250,1446,1474,1446,86.45,487.8
0.01,-1,0.99,1250,1446,1474,1446,86.45,497.9
0.01,0.5,-1,1219,1446,1474,1446,84.3,1249.6
0.01,0.5,0.5,1258,1446,1474,1446,87.0,217.5
0.01,0.5,0.8,1258,1446,1474,1446,87.0,231.6
0.01,0.5,0.9,1244,1446,1474,1446,86.03,439.8
0.01,0.5,0.95,1244,1446,1474,1446,86.03,434.7
0.01,0.5,0.99,1244,1446,1474,1446,86.03,457.4
0.01,0.8,-1,1237,1446,1474,1446,85.55,1299.2
0.01,0.8,0.5,1260,1446,1474,1446,87.14,230.1
0.01,0.8,0.8,1260,1446,1474,1446,87.14,214.7
0.01,0.8,0.9,1248,1446,1474,1446,86.31,433.0
0.01,0.8,0.95,1248,1446,1474,1446,86.31,451.8
0.01,0.8,0.99,1248,1446,1474,1446,86.31,436.4
0.01,0.9,-1,1243,1446,1474,1446,85.96,1308.7
0.01,0.9,0.5,1260,1446,1474,1446,87.14,237.2
0.01,0.9,0.8,1260,1446,1474,1446,87.14,222.4
0.01,0.9,0.9,1250,1446,1474,1446,86.45,449.4
0.01,0.9,0.95,1250,1446,1474,1446,86.45,450.7
0.01,0.9,0.99,1250,1446,1474,1446,86.45,443.0
0.01,0.95,-1,1246,1446,1474,1446,86.17,1331.9
0.01,0.95,0.5,1260,1446,1474,1446,87.14,229.1
0.01,0.95,0.8,1260,1446,1474,1446,87.14,239.1
0.01,0.95,0.9,1250,1446,1474,1446,86.45,523.0
0.01,0.95,0.95,1250,1446,1474,1446,86.45,591.4
0.01,0.95,0.99,1250,1446,1474,1446,86.45,571.5
0.01,0.99,-1,1250,1446,1474,1446,86.45,1725.2
0.01,0.99,0.5,1260,1446,1474,1446,87.14,280.1
0.01,0.99,0.8,1260,1446,1474,1446,87.14,288.6
0.01,0.99,0.9,1250,1446,1474,1446,86.45,608.6
0.01,0.99,0.95,1250,1446,1474,1446,86.45,578.5
0.01,0.99,0.99,1250,1446,1474,1446,86.45,590.4
0.02,-1,-1,1252,1446,1474,1446,86.58,1979.4
0.02,-1,0.5,1259,1446,1474,1446,87.07,286.4
0.02,-1,0.8,1259,1446,1474,1446,87.07,263.2
0.02,-1,0.9,1246,1446,1474,1446,86.17,675.9
0.02,-1,0.95,1246,1446,1474,1446,86.17,642.7
0.02,-1,0.99,1246,1446,1474,1446,86.17,635.6
0.02,0.5,-1,1219,1446,1474,1446,84.3,1543.3
0.02,0.5,0.5,1257,1446,1474,1446,86.93,283.5
0.02,0.5,0.8,1257,1446,1474,1446,86.93,290.6
0.02,0.5,0.9,1241,1446,1474,1446,85.82,584.5
0.02,0.5,0.95,1241,1446,1474,1446,85.82,550.0
0.02,0.5,0.99,1241,1446,1474,1446,85.82,554.8
0.02,0.8,-1,1237,1446,1474,1446,85.55,1685.7
0.02,0.8,0.5,1259,1446,1474,1446,87.07,268.2
0.02,0.8,0.8,1259,1446,1474,1446,87.07,312.0
0.02,0.8,0.9,1244,1446,1474,1446,86.03,591.3
0.02,0.8,0.95,1244,1446,1474,1446,86.03,559.9
0.02,0.8,0.99,1244,1446,1474,1446,86.03,565.2
0.02,0.9,-1,1243,1446,1474,1446,85.96,1728.6
0.02,0.9,0.5,1259,1446,1474,1446,87.07,293.8
0.02,0.9,0.8,1259,1446,1474,1446,87.07,289.3
0.02,0.9,0.9,1246,1446,1474,1446,86.17,605.7
0.02,0.9,0.95,1246,1446,1474,1446,86.17,571.9
0.02,0.9,0.99,1246,1446,1474,1446,86.17,565.3
0.02,0.95,-1,1246,1446,1474,1446,86.17,1675.9
0.02,0.95,0.5,1259,1446,1474,1446,87.07,273.4
0.02,0.95,0.8,1259,1446,1474,1446,87.07,303.9
0.02,0.95,0.9,1246,1446,1474,1446,86.17,625.7
0.02,0.95,0.95,1246,1446,1474,1446,86.17,569.6
0.02,0.95,0.99,1246,1446,1474,1446,86.17,555.5
0.02,0.99,-1,1250,1446,1474,1446,86.45,1702.8
0.02,0.99,0.5,1259,1446,1474,1446,87.07,273.8
0.02,0.99,0.8,1259,1446,1474,1446,87.07,291.7
0.02,0.99,0.9,1246,1446,1474,1446,86.17,639.3
0.02,0.99,0.95,1246,1446,1474,1446,86.17,588.2
0.02,0.99,0.99,1246,1446,1474,1446,86.17,589.1
0.05,-1,-1,1252,1446,1474,1446,86.58,1995.4
0.05,-1,0.5,1254,1446,1474,1446,86.72,281.7
0.05,-1,0.8,1254,1446,1474,1446,86.72,266.5
0.05,-1,0.9,1243,1446,1474,1446,85.96,653.6
0.05,-1,0.95,1243,1446,1474,1446,85.96,635.8
0.05,-1,0.99,1243,1446,1474,1446,85.96,665.0
0.05,0.5,-1,1219,1446,1474,1446,84.3,1581.0
0.05,0.5,0.5,1253,1446,1474,1446,86.65,279.5
0.05,0.5,0.8,1253,1446,1474,1446,86.65,274.0
0.05,0.5,0.9,1241,1446,1474,1446,85.82,589.1
0.05,0.5,0.95,1241,1446,1474,1446,85.82,553.9
0.05,0.5,0.99,1241,1446,1474,1446,85.82,546.4
0.05,0.8,-1,1237,1446,1474,1446,85.55,1646.2
0.05,0.8,0.5,1253,1446,1474,1446,86.65,270.8
0.05,0.8,0.8,1253,1446,1474,1446,86.65,304.4
0.05,0.8,0.9,1242,1446,1474,1446,85.89,600.8
0.05,0.8,0.95,1242,1446,1474,1446,85.89,561.2
0.05,0.8,0.99,1242,1446,1474,1446,85.89,556.1
0.05,0.9,-1,1243,1446,1474,1446,85.96,1663.8
0.05,0.9,0.5,1254,1446,1474,1446,86.72,289.0
0.05,0.9,0.8,1254,1446,1474,1446,86.72,280.7
0.05,0.9,0.9,1243,1446,1474,1446,85.96,612.3
0.05,0.9,0.95,1243,1446,1474,1446,85.96,562.0
0.05,0.9,0.99,1243,1446,1474,1446,85.96,562.7
0.05,0.95,-1,1245,1446,1474,1446,86.1,1810.7
0.05,0.95,0.5,1254,1446,1474,1446,86.72,334.3
0.05,0.95,0.8,1254,1446,1474,1446,86.72,361.6
0.05,0.95,0.9,1243,1446,1474,1446,85.96,609.3
0.05,0.95,0.95,1243,1446,1474,1446,85.96,585.6
0.05,0.95,0.99,1243,1446,1474,1446,85.96,580.4
0.05,0.99,-1,1250,1446,1474,1446,86.45,1851.3
0.05,0.99,0.5,1254,1446,1474,1446,86.72,332.2
0.05,0.99,0.8,1254,1446,1474,1446,86.72,370.2
0.05,0.99,0.9,1243,1446,1474,1446,85.96,626.3
0.05,0.99,0.95,1243,1446,1474,1446,85.96,619.8
0.05,0.99,0.99,1243,1446,1474,1446,85.96,626.6
0.08,-1,-1,1252,1446,1474,1446,86.58,2179.8
0.08,-1,0.5,1251,1446,1474,1446,86.51,333.1
0.08,-1,0.8,1251,1446,1474,1446,86.51,334.4
0.08,-1,0.9,1242,1446,1474,1446,85.89,665.7
0.08,-1,0.95,1242,1446,1474,1446,85.89,651.8
0.08,-1,0.99,1242,1446,1474,1446,85.89,656.5
0.08,0.5,-1,1219,1446,1474,1446,84.3,1746.0
0.08,0.5,0.5,1250,1446,1474,1446,86.45,338.9
0.08,0.5,0.8,1250,1446,1474,1446,86.45,357.7
0.08,0.5,0.9,1239,1446,1474,1446,85.68,616.0
0.08,0.5,0.95,1239,1446,1474,1446,85.68,578.2
0.08,0.5,0.99,1239,1446,1474,1446,85.68,582.8
0.08,0.8,-1,1237,1446,1474,1446,85.55,1787.0
0.08,0.8,0.5,1250,1446,1474,1446,86.45,348.1
0.08,0.8,0.8,1250,1446,1474,1446,86.45,334.2
0.08,0.8,0.9,1240,1446,1474,1446,85.75,589.2
0.08,0.8,0.95,1240,1446,1474,1446,85.75,553.7
0.08,0.8,0.99,1240,1446,1474,1446,85.75,568.6
0.08,0.9,-1,1243,1446,1474,1446,85.96,1800.9
0.08,0.9,0.5,1251,1446,1474,1446,86.51,362.3
0.08,0.9,0.8,1251,1446,1474,1446,86.51,361.4
0.08,0.9,0.9,1241,1446,1474,1446,85.82,614.0
0.08,0.9,0.95,1241,1446,1474,1446,85.82,569.7
0.08,0.9,0.99,1241,1446,1474,1446,85.82,581.0
