filter_threshold,width_confidence,depth_confidence,matched_points,possible_pairs,left_keypoints,right_keypoints,match_ratio_pct,match_time_ms
0.01,-1,-1,247,323,329,323,76.47,178.0
0.01,-1,0.5,255,323,329,323,78.95,25.4
0.01,-1,0.8,252,323,329,323,78.02,41.4
0.01,-1,0.9,252,323,329,323,78.02,42.2
0.01,-1,0.95,252,323,329,323,78.02,42.2
0.01,-1,0.99,252,323,329,323,78.02,55.5
0.01,0.5,-1,240,323,329,323,74.3,109.8
0.01,0.5,0.5,251,323,329,323,77.71,24.7
0.01,0.5,0.8,249,323,329,323,77.09,38.2
0.01,0.5,0.9,249,323,329,323,77.09,36.8
0.01,0.5,0.95,249,323,329,323,77.09,37.6
0.01,0.5,0.99,249,323,329,323,77.09,48.7
0.01,0.8,-1,245,323,329,323,75.85,106.6
0.01,0.8,0.5,254,323,329,323,78.64,24.2
0.01,0.8,0.8,253,323,329,323,78.33,39.2
0.01,0.8,0.9,253,323,329,323,78.33,39.6
0.01,0.8,0.95,253,323,329,323,78.33,38.8
0.01,0.8,0.99,253,323,329,323,78.33,50.1
0.01,0.9,-1,246,323,329,323,76.16,112.7
0.01,0.9,0.5,255,323,329,323,78.95,25.3
0.01,0.9,0.8,252,323,329,323,78.02,39.9
0.01,0.9,0.9,252,323,329,323,78.02,40.5
0.01,0.9,0.95,252,323,329,323,78.02,38.2
0.01,0.9,0.99,252,323,329,323,78.02,51.8
0.01,0.95,-1,246,323,329,323,76.16,112.7
0.01,0.95,0.5,255,323,329,323,78.95,26.0
0.01,0.95,0.8,253,323,329,323,78.33,40.1
0.01,0.95,0.9,253,323,329,323,78.33,40.0
0.01,0.95,0.95,253,323,329,323,78.33,38.9
0.01,0.95,0.99,252,323,329,323,78.02,52.1
0.01,0.99,-1,247,323,329,323,76.47,115.2
0.01,0.99,0.5,255,323,329,323,78.95,25.2
0.01,0.99,0.8,252,323,329,323,78.02,39.7
0.01,0.99,0.9,252,323,329,323,78.02,40.8
0.01,0.99,0.95,252,323,329,323,78.02,39.3
0.01,0.99,0.99,252,323,329,323,78.02,53.7
0.02,-1,-1,247,323,329,323,76.47,145.8
0.02,-1,0.5,254,323,329,323,78.64,27.5
0.02,-1,0.8,251,323,329,323,77.71,43.5
0.02,-1,0.9,251,323,329,323,77.71,42.6
0.02,-1,0.95,251,323,329,323,77.71,43.0
0.02,-1,0.99,252,323,329,323,78.02,57.9
0.02,0.5,-1,240,323,329,323,74.3,111.3
