filter_threshold,width_confidence,depth_confidence,matched_points,possible_pairs,left_keypoints,right_keypoints,match_ratio_pct,match_time_ms
0.01,-1,-1,320,364,371,364,87.91,331.2
0.01,-1,0.5,321,364,371,364,88.19,77.0
0.01,-1,0.8,321,364,371,364,88.19,73.5
0.01,-1,0.9,321,364,371,364,88.19,61.3
0.01,-1,0.95,321,364,371,364,88.19,76.3
0.01,-1,0.99,321,364,371,364,88.19,67.6
0.01,0.5,-1,300,364,371,364,82.42,98.5
0.01,0.5,0.5,308,364,371,364,84.62,36.4
0.01,0.5,0.8,308,364,371,364,84.62,35.6
0.01,0.5,0.9,308,364,371,364,84.62,34.9
0.01,0.5,0.95,306,364,371,364,84.07,46.5
0.01,0.5,0.99,306,364,371,364,84.07,43.8
0.01,0.8,-1,318,364,371,364,87.36,108.4
0.01,0.8,0.5,320,364,371,364,87.91,36.4
0.01,0.8,0.8,320,364,371,364,87.91,36.0
0.01,0.8,0.9,320,364,371,364,87.91,40.0
0.01,0.8,0.95,320,364,371,364,87.91,46.5
0.01,0.8,0.99,320,364,371,364,87.91,48.7
0.01,0.9,-1,319,364,371,364,87.64,112.2
0.01,0.9,0.5,321,364,371,364,88.19,35.8
0.01,0.9,0.8,321,364,371,364,88.19,61.7
0.01,0.9,0.9,321,364,371,364,88.19,59.3
0.01,0.9,0.95,321,364,371,364,88.19,75.3
0.01,0.9,0.99,321,364,371,364,88.19,76.1
0.01,0.95,-1,319,364,371,364,87.64,176.2
0.01,0.95,0.5,321,364,371,364,88.19,51.1
0.01,0.95,0.8,321,364,371,364,88.19,38.2
0.01,0.95,0.9,321,364,371,364,88.19,37.8
0.01,0.95,0.95,320,364,371,364,87.91,51.1
0.01,0.95,0.99,320,364,371,364,87.91,49.7
0.01,0.99,-1,320,364,371,364,87.91,110.5
0.01,0.99,0.5,321,364,371,364,88.19,39.1
0.01,0.99,0.8,321,364,371,364,88.19,38.1
0.01,0.99,0.9,321,364,371,364,88.19,41.8
0.01,0.99,0.95,321,364,371,364,88.19,51.1
0.01,0.99,0.99,321,364,371,364,88.19,47.8
0.02,-1,-1,320,364,371,364,87.91,119.8
0.02,-1,0.5,321,364,371,364,88.19,38.0
0.02,-1,0.8,321,364,371,364,88.19,38.1
0.02,-1,0.9,321,364,371,364,88.19,38.4
0.02,-1,0.95,319,364,371,364,87.64,51.8
