Class,Module Category,Source,Binding,Status Legend,Python Naming Note,Class Note
PvlTokenizer,Parsing,reference/upstream_isis/src/base/objs/PvlTokenizer/PvlTokenizer.h,src/base/bind_base_pvl.cpp,Y = converted; N = not converted; Partial = partially converted,Converted entries use the current Python name; unconverted entries use the proposed Python name,2026-04-09 已在 src/base/bind_base_pvl.cpp 完成绑定

Group,C++ Method/Content,Python Class/Function Name,Converted,Notes
Class Symbol,PvlTokenizer,isis_pybind.PvlTokenizer,Y,Exposed as py::class_<Isis::PvlTokenizer>
Construction/Enum,PvlTokenizer(),isis_pybind.PvlTokenizer(),Y,Default constructor
Public API,"void Load(std::istream &stream, const QString &terminator=""END"")",isis_pybind.PvlTokenizer.load,Y,Wraps std::istream with std::istringstream; accepts Python str
Public API,void Clear(),isis_pybind.PvlTokenizer.clear,Y,
Public API,std::vector<Isis::PvlToken> &GetTokenList(),isis_pybind.PvlTokenizer.get_token_list,Y,Returns copy as list[PvlToken]
Protected API,QString ReadComment(std::istream &),N,Protected; internal parser helper
Protected API,QString ReadToken(std::istream &),N,Protected; internal parser helper
Protected API,bool SkipWhiteSpace(std::istream &),N,Protected; internal parser helper
Protected API,QString ReadToSingleQuote(std::istream &),N,Protected; internal parser helper
Protected API,QString ReadToDoubleQuote(std::istream &),N,Protected; internal parser helper
Protected API,QString ReadToParen(std::istream &),N,Protected; internal parser helper
Protected API,QString ReadToBrace(std::istream &),N,Protected; internal parser helper
Protected API,void ParseCommaList(PvlToken &t const QString &cl),N,Protected; internal parser helper
Protected API,void ValidateCharacter(int c),N,Protected; internal parser helper
Python Protocol,__repr__,isis_pybind.PvlTokenizer.__repr__,Y,PvlTokenizer(tokens=N)
